rec_id, rec2_id, culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number, family_role
rec-2608-dup-0, rec-2775-org, ara, d, 25, 19910026, ms, brodee, mansurah, , lismofe, 3079, 4, northbourre avenue, , 03 94983306, 4377294, 1, NoRole
rec-272-org,   rec-3688-org, eng, f, 31, 19850604, , matisse, lusk, vic, beaufort, 4120, 11, taylor street, , 8 43837492, 7916207, 1, NoRole
rec-363-org,   rec-38-org, eng, , 11, 20050402, dr, caresse, shelby, qld, cullinane, 2234, 4, pedrail place, , 3 70213581, 4764773, 8, NoRole
rec-1915-org,   rec-3760-org, unk, , 39, 19770703, , benjamin, strahn, qld, midgeree bar, 5600, 36, bissenberger crescent, lst hse on left, 03 07700711, 7895852, 2, NoRole
rec-2952-org,   rec-1705-org, ara, f, , 19961126, , sarah, albader, sa, summertown, 4227, 4, brereton street, , 617 25222106, 9787741, 7, NoRole
rec-3460-org,   rec-1731-org, ind, m, 31, 19850318, ms, aaliyah, gurbani, qld, machine creek, 2170, 39, ern florence crescent, , 613 37275416, 7562084, 8, NoRole
rec-1603-org,   rec-2532-org, ser, f, 31, 19850825, , kristen, gojkovic, nsw, erica, 3764, 12, stillwell place, , 2 16867900, 5540676, 6, NoRole
rec-2178-org,   rec-1938-org, unk, f, , 19520217, , finn, scogin, tas, strickland, 2263, 10, meymott place, , 7 90813245, 7803440, 4, NoRole
rec-2712-org,   rec-1856-org, hun, f, 34, 19821007, , , fÖdes, , forest lodge, , 371, beazley crescent, fenner hall, 08 34490356, 3931370, 8, NoRole
rec-2806-org,   rec-2290-org, unk, f, 26, 19900106, , samuel, strainij, nsw, empire bay, 4551, 110, figg place, scots college, 08 12071395, 9613222, 1, NoRole
rec-1761-org,   rec-851-org, pol, f, 8, 20080119, , jayden, bujak, sa, biggs flat, 6147, 52, wheeler crescent, , 7 26579300, 3749410, 2, NoRole
rec-870-dup-0, rec-1797-org, jew, m, 8, 20080930, , alessandra, kraudz, nsw, rollands plains, 2608, 3, breona place, , 2 56955060, 1635061, 8, NoRole
rec-2111-dup-0, rec-1219-org, eng, , 27, , , dres, kevinon, qld, warenda, 6050, 12, mccaughey street, , 08 80226583, 4066519, 5, NoRole
rec-3174-org,   rec-2848-org, pak, , 20, 19961118, , edward, barlas, nsw, horsley, 5159, 158, baynton street, , 2 91612628, 9451675, 8, NoRole
rec-843-dup-0, rec-441-org, chi, c, 63, 19800305, , conner, tsou, sa, clayon, 2259, , wilkie place, , 07 68500322, 8981272, 4, NoRole
rec-3065-org,   rec-1867-org, abo, f, 33, 19830810, ms, kiara, tapai, qld, blackbutt north, 6020, 4, currie crescent, village walk (cnr high s street, 613 93498021, 2535775, 5, NoRole
rec-3709-dup-0, rec-2670-org, unk, m, 29, 19870717, , breopny, aaqre, qld, mornigton, 4680, 26, coranderr street, , 3 23001399, 2990804, 2, NoRole
rec-3423-org,   rec-1680-org, usa, f, 38, 19780904, dr, robin, kelly, vic, lovely banks, 6057, 1, groom street, , 08 64493446, 7262932, 7, NoRole
rec-2360-org,   rec-321-org, fin, m, 26, 19900104, , dylan, koskinen, qld, kumbia, 3260, 35, , rsd frareen, 613 37964372, 4839660, 6, NoRole
rec-3051-org,   rec-3604-org, eng, , 31, 19850119, , caitlyn, booner, tas, travellers rest, 2194, 111, wattle street, , 7 71697380, 5873568, 7, NoRole
rec-571-org,   rec-835-org, usa, f, 21, 19950307, mr, joshua, conley, nsw, glenning valley, 2220, 33, upton street, , 02 69616396, 3392086, 3, NoRole
rec-1500-org,   rec-3170-org, unk, f, 32, 19840506, , reuben, scopel, qld, no 6 branch, 6230, 5, nelson place, , 03 15856706, 5041507, 1, NoRole
rec-2155-org,   rec-1662-org, usa, f, 20, 19960228, , liam, hull, nsw, mardi, 3184, 17, gorrie close, rocklands, 612 38895462, 8141949, 1, NoRole
rec-2671-org,   rec-1002-org, chi, f, , 19200331, , harrison, hark, wa, hoffman, 6008, 4, arnold place, , 8 99934814, 9012196, 4, NoRole
